codigo,ano,classificacao,lag_era5_h,n_pares,bias_c,rmse_c,correlacao
A402,2005,anomalia,19,1031,16.818239212036133,17.469758987426758,-0.08815184718851488
A402,2005,anomalia,20,1029,16.799306869506836,17.408775329589844,-0.004379074035042736
A402,2005,anomalia,21,1026,16.77250099182129,17.3399600982666,0.07362094061386347
A402,2005,anomalia,22,1028,16.772268295288086,17.3056640625,0.13910460556620166
A402,2005,anomalia,23,1028,16.726634979248047,17.233278274536133,0.18476748533373893
A402,2005,anomalia,24,1026,16.68263053894043,17.182851791381836,0.20416653862767595
A355,2015,anomalia,-24,8732,-5.716709613800049,6.28499698638916,0.6648157602475941
A355,2015,anomalia,-23,8733,-5.716434478759766,6.284392833709717,0.6653246982137653
A355,2015,anomalia,-22,8734,-5.716436862945557,6.313782691955566,0.6252394924687829
A355,2015,anomalia,-21,8735,-5.716300010681152,6.366109848022461,0.5530839013785233
A355,2015,anomalia,-20,8736,-5.716625690460205,6.434541702270508,0.4584166130877462
A355,2015,anomalia,-19,8737,-5.716682434082031,6.511202812194824,0.35068712156100273
A355,2015,anomalia,-18,8738,-5.717005252838135,6.590010166168213,0.23904258298360445
A355,2015,anomalia,-17,8739,-5.717807292938232,6.665339946746826,0.13135112814230093
A355,2015,anomalia,-16,8740,-5.718101978302002,6.733037948608398,0.03310380268980133
A355,2015,anomalia,-15,8741,-5.718404769897461,6.792699337005615,-0.05425961778807309
A355,2015,anomalia,-14,8742,-5.718680381774902,6.839992046356201,-0.12382833350222926
A355,2015,anomalia,-13,8743,-5.718851089477539,6.871216297149658,-0.17013179787519014
A355,2015,anomalia,-12,8744,-5.718779563903809,6.888470649719238,-0.19596181999565918
A355,2015,anomalia,-11,8745,-5.7186689376831055,6.892609119415283,-0.20240565918706507
A355,2015,anomalia,-10,8746,-5.718400001525879,6.882956504821777,-0.18843075370050894
A355,2015,anomalia,-9,8747,-5.717649936676025,6.8574652671813965,-0.15128099749507873
A355,2015,anomalia,-8,8748,-5.716846466064453,6.815727710723877,-0.09026110978689864
A355,2015,anomalia,-7,8749,-5.71591854095459,6.758144855499268,-0.006382967840660945
A355,2015,anomalia,-6,8750,-5.7150983810424805,6.686657905578613,0.09693340327397193
A355,2015,anomalia,-5,8751,-5.714465618133545,6.605170249938965,0.21362686281158846
A355,2015,anomalia,-4,8752,-5.713751316070557,6.519234657287598,0.33510423950711393
A355,2015,anomalia,-3,8753,-5.713192939758301,6.4347710609436035,0.4531207703320748
A355,2015,anomalia,-2,8754,-5.712612628936768,6.3576741218566895,0.5594059135868426
A355,2015,anomalia,-1,8755,-5.712170124053955,6.297275543212891,0.641714722588756
A355,2015,anomalia,0,8758,-5.712087154388428,6.264287948608398,0.6864341379052631
A355,2015,anomalia,1,8755,-5.71208381652832,6.264674186706543,0.6859795324027705
A355,2015,anomalia,2,8754,-5.712433338165283,6.296311855316162,0.6433666260386189
A355,2015,anomalia,3,8753,-5.712681293487549,6.351540565490723,0.5680310551228253
A355,2015,anomalia,4,8752,-5.713120460510254,6.423079967498779,0.4695781329651126
A355,2015,anomalia,5,8751,-5.713315010070801,6.502460479736328,0.3585745088560521
A355,2015,anomalia,6,8750,-5.713105201721191,6.583404541015625,0.24357570246356258
A355,2015,anomalia,7,8749,-5.713109016418457,6.660790920257568,0.13239729397574926
A355,2015,anomalia,8,8748,-5.712978363037109,6.730606555938721,0.030678268452218688
A355,2015,anomalia,9,8747,-5.7125983238220215,6.7919206619262695,-0.05954373253744732
A355,2015,anomalia,10,8746,-5.712213039398193,6.840348243713379,-0.13146513375508817
A355,2015,anomalia,11,8745,-5.711999416351318,6.872677803039551,-0.17965013229350169
A355,2015,anomalia,12,8744,-5.71182107925415,6.891411304473877,-0.20739762436020243
A355,2015,anomalia,13,8743,-5.711820602416992,6.89736270904541,-0.21608652653765703
A355,2015,anomalia,14,8742,-5.711937427520752,6.889518737792969,-0.20406873622758337
A355,2015,anomalia,15,8741,-5.71241569519043,6.8661346435546875,-0.16869506352191363
A355,2015,anomalia,16,8740,-5.712865829467773,6.826144218444824,-0.10886447863455391
A355,2015,anomalia,17,8739,-5.713277816772461,6.7701215744018555,-0.02594987017916825
A355,2015,anomalia,18,8738,-5.713728904724121,6.700626373291016,0.07588961977808735
A355,2015,anomalia,19,8737,-5.714147567749023,6.621138572692871,0.1910206797714885
A355,2015,anomalia,20,8736,-5.714625835418701,6.537159442901611,0.31128574932808734
A355,2015,anomalia,21,8735,-5.715202331542969,6.455108642578125,0.42743293938179466
A355,2015,anomalia,22,8734,-5.715744972229004,6.380943775177002,0.5312547130524333
A355,2015,anomalia,23,8733,-5.716053485870361,6.323007583618164,0.6113676576587608
A355,2015,anomalia,24,8732,-5.716419219970703,6.291867733001709,0.6543608417074708
A316,2014,anomalia,-24,7241,-1.119354009628296,6.904514312744141,-0.33263929754677873
A316,2014,anomalia,-23,7224,-1.0949134826660156,6.838742256164551,-0.305994591985325
A316,2014,anomalia,-22,7191,-1.084774374961853,6.718350410461426,-0.25646519986080896
A316,2014,anomalia,-21,7156,-1.0892415046691895,6.5327043533325195,-0.18355609186878147
A316,2014,anomalia,-20,7114,-1.1069190502166748,6.284824848175049,-0.09034500591400828
A316,2014,anomalia,-19,7081,-1.1282414197921753,5.975739002227783,0.019262682622583786
A316,2014,anomalia,-18,7057,-1.1478221416473389,5.621272087097168,0.13745165016144517
A316,2014,anomalia,-17,7038,-1.1646040678024292,5.24308967590332,0.255876078889089
A316,2014,anomalia,-16,7030,-1.1741255521774292,4.867062091827393,0.3648442185114761
A316,2014,anomalia,-15,7025,-1.1810041666030884,4.530332565307617,0.4554319436230698
A316,2014,anomalia,-14,7024,-1.1802308559417725,4.276743412017822,0.5191761232959207
A316,2014,anomalia,-13,7024,-1.179831862449646,4.142492771148682,0.5511845284170966
A316,2014,anomalia,-12,7025,-1.176190733909607,4.164486408233643,0.545685691296228
A316,2014,anomalia,-11,7027,-1.1714850664138794,4.343296051025391,0.5019654425212513
A316,2014,anomalia,-10,7030,-1.1692968606948853,4.641897678375244,0.42528678303852985
